chercheur	rôle	établissement
Mauzeroll, Janine	Cochercheur principal	Université McGill
May, Michael	Collaborateur	Centre for Commercialization of Regenerative Medicine
Mayall, Robert	Collaborateur	FREDSense Technologies Corporation
McAiney, Carrie	Cocandidat	University of Waterloo
McBride, Chris	Collaborateur	Spinal Cord Injury BC
McDivitt, Tina	Collaborateur	Spindle
McGill, Iain	Collaborateur	Quell Therapeutics
McGraw, John	Collaborateur	Izotropic Corporation
McGuiness, Christine	Collaborateur	Solvay
McIlwraith, Thomas	Cocandidat	University of Guelph
McKelvey, Fenwick	Cocandidat	Université Concordia
McKenzie, Debbie	Cocandidat	University of Alberta
McLean, Alastair	Cocandidat	Queen's University
Meinzen-Dick, Ruth	Cocandidat	International Food Policy Research Institute
Melgar-Quinonez, Hugo	Cocandidat	Université McGill
Menon, Ravi	Chercheur principal désigné	Western University
McLaurin, Joanne	Cochercheur principal	Sunnybrook Research Institute
meyer, manulani	Cocandidat	University of Hawaii West Oahu
Michel, Laura Jane	Collaborateur	Lutsel K'e Dene First Nation (Region 6)
Miller, Joseph	Collaborateur	Global Biodiversity Information Facility
Miller, Marc	Collaborateur	Services aux Autochtones Canada
Miller, Scott	Cocandidat	National Museum of Natural History
Milosevic, Michael	Collaborateur	University of Toronto and Princess Margaret Hospital
Miyawaki, Atsushi	Cocandidat	RIKEN
Mizrachi, Illene	Collaborateur	National Centre for Biological Information
Moctar, Abdourahmane Ag	Collaborateur	Self-employed
Moll, Sandra	Cocandidat	McMaster University
Moran, Kate	Collaborateur	Réseaux océan Canada
Moola, Faizal	Cocandidat	University of Guelph
Moreau, Christian	Cochercheur principal	Université Concordia
Morel, Alban	Collaborateur	National Research Council
Morshead, Cindi	Cochercheur principal	University of Toronto
Moser, Cindy	Collaborateur	Institute for Work & Health
Muller, Eilif	Cocandidat	Université de Montréal
Munoz, Douglas	Collaborateur	Ontario Neurodegenerative Disease Research Initiative
Mustonen, Kaisu	Collaborateur	Snowchange Collective (Region 22)
Mustonen, Tero	Cocandidat	Snowchange Cooperative
Nagam, Julie	Cocandidat	University of Winnipeg
Napoleon, Art	Collaborateur	Saulteau First Nations (Region 15)
Nanthakumar, Kumaraswamy	Cocandidat	University Health Network
Napoleon, Val	Cocandidat	University of Victoria
Nayak, Prateep	Cocandidat	University of Waterloo
Near, James	Cochercheur principal	University of Toronto
Nebesky, Jennifer	Collaborateur	Fondation canadienne du foie
Negulescu, Paul	Collaborateur	Vertex Pharmaceuticals
Neville, Kate	Cochercheur principal	University of Toronto
Newell, William	Cocandidat	Memorial University of Newfoundland
Ngamane, Liane	Cocandidat	Hauraki Iwi Collective
Nielson, Kent	Collaborateur	3M Canada
Noël, James	Cocandidat	Western University
Noiseux, Nicolas	Cocandidat	Centre hospitalier de l'université de Montréal
Noonan, Vanessa	Collaborateur	Praxis Spinal Cord Institute
Nord, Leah	Collaborateur	Chambre de Commerce du Canada
Noskey, Arthur	Collaborateur	Treaty 8 First Nations of Alberta (Region 11)
Ogbogu, Ubaka	Cocandidat	University of Alberta
Oliveira, Guilherme	Cocandidat	Vale Institute of Technology
O'Neil, John	Cochercheur principal	Simon Fraser University
Ooms, Maarten	Collaborateur	SCK CEN
Ovaskainen, Otso	Cochercheur principal	University of Helsinki
Owen, Adrian	Cocandidat	Western University
Ozsu, M. Tamer	Cochercheur principal	University of Waterloo
Ozdemiroglu, Ece	Collaborateur	 Economics For The Environment Consultancy
Packer, Laurence	Cocandidat	Université York
Papineau, Maya	Cocandidat	Carleton University
Parent, Brendan	Cocandidat	New York University Grossman School of Medicine
Parker Jones, Oiwi	Cocandidat	University of Oxford
Parkins, John	Cocandidat	University of Alberta
Parlee, Brenda	Chercheur principal désigné	University of Alberta
Parrish, Christopher	Cocandidat	Memorial University of Newfoundland
Pawlowski, Jan	Cocandidat	Institute of Oceanology, Polish Academy of Sciences
Pascal, Wanda	Collaborateur	Tetlit Zheh - Tetlit Gwich'in Council (Region 5)
Pechawis, Archer	Cocandidat	Université York
Pereira, Bruno	Collaborateur	Northwest Territories Power Corporation
Perez, Mery	Cocandidat	Memorial University of Newfoundland
Perrin, David	Cocandidat	The University of British Columbia
Peterson, Eric	Collaborateur	Hakai Insitute
Petterson, Rachel	Collaborateur	Jernkontoret (Swedish Steel Producer's Association)
Pictou, Kara	Collaborateur	The Confederacy of Mainland Mi'kmaq (Region 17)
PICTOU, SHERRY	Cochercheur principal	Dalhousie University
Ping Lu, Kung	Collaborateur	Western University
Poesch, Mark	Cocandidat	University of Alberta
Pokiak, Frank	Collaborateur	Inuvialuit Game Council (Region 1)
Popp, Jesse	Cocandidat	University of Guelph
Porsanger, Jelena	Collaborateur	University of Helsinki (Region 22)
Porter, Corrine	Cocandidat	Dena Kayeh Institute
Prado, Vania	Cochercheur principal	Western University
Provost, Ira	Collaborateur	Piikani Nation (Region 19)
Ramirez, Rina	Cocandidat	UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS
Randell, Edward	Collaborateur	Memorial University/Eastern Health
Ratnasingham, Sujeevan	Collaborateur	Multiplex Genomics
Porter, Corrine	Collaborateur	Dena Kayeh Institute (Region 10)
Prado, Marco	Cochercheur principal	Western University
Price, Eric	Collaborateur	University of Saskatchewan
Protze, Stephanie	Cochercheur principal	University Health Network
Pruszynski, Andrew	Cocandidat	Western University
Radchenko, Valery	Cocandidat	TRIUMF
Rac, Valeria	Cocandidat	University Health Network
Ragogna, Paul	Cochercheur principal	Western University
Ramogida, Caterina	Cochercheur principal	Simon Fraser University
Rasic, Daniel	Collaborateur	Semiconductor Research Corporation (SRC)
Raygorodetsky, Gleb	Collaborateur	Government of Alberta
Reece, Cleo	Collaborateur	Fort McMurray First Nation (Region 11)
Pulsifer, Peter	Cocandidat	Carleton University
Chercheur	Rôle	Établissement
Regier, Dean	Cocandidat	BC Cancer - BC Cancer Research Centre
Reed, Marty	Collaborateur	Evok Innovations
Rehan, Sandra	Cocandidat	Université York
Reichman, Trevor	Cocandidat	University of Toronto
Reid, Andrea	Cocandidat	The University of British Columbia
Reid, Brady	Collaborateur	Memorial University
Reid, Gregor	Cocandidat	The University of British Columbia
Reilly, Raymond	Cocandidat	University of Toronto
Reimer, Alice	Collaborateur	Creative Destruction Lab
Rho, Jong	Collaborateur	University of California San Diego
Richards, Blake	Cocandidat	Université McGill
Rice, Jacqueline	Cocandidat	University of Lethbridge
Rise, Matthew	Cocandidat	Memorial University of Newfoundland
Roe, Dilys	Collaborateur	Interational Institute for Environment and Development
Rogers, Ian	Cochercheur principal	Sinai Health System
Rohling, Robert	Cochercheur principal	The University of British Columbia
Roldán Cuenya, Beatriz	Collaborateur	Fritz Haber Institute of the Max Planck Society
Roslin, Tomas	Collaborateur	Sveriges lantbruksuniversitet
Ross, Michael	Cocandidat	Yukon University
Rossi, Fabio	Cocandidat	The University of British Columbia
Roth, Doug	Collaborateur	Heart & Stroke Foundation
Roth, Geoffrey	Collaborateur	Indian Health for Urban Indian Programs/UNPFII (Region 37)
Roth, Robin	Cocandidat	University of Guelph
Rothblatt, Martine	Collaborateur	United Therapeutics
Rougerie, Rodolphe	Cocandidat	Muséum national d'Histoire naturelle
Running Wolf, Caroline	Collaborateur	Buffalo Tongue Inc.
Sairanen, Sari	Collaborateur	UNIFOR
Saksida, Lisa	Cochercheur principal	Western University
Sanogo, Rokia	Cocandidat	Université des Sciences, des Techniques et des Technologies de Bamako (USTTB)
Santander, Javier	Cocandidat	Memorial University of Newfoundland
Saouab, Abdou	Collaborateur	Emploi et développement social Canada
Sargent, Edward	Cocandidat	University of Toronto
Sarikhani, Kaveh	Collaborateur	SealForLife
Sarvazyan, Narine	Cocandidat	George Washington University
Sayin, Firat	Cocandidat	Saint Mary's University
Schaffer, Paul	Cocandidat	TRIUMF
Schirrmacher, Ralf	Cocandidat	University of Alberta
Schmitz, Taylor	Cocandidat	Western University
Schmiegelow, Fiona	Cocandidat	University of Alberta
Schuurmans, Carol	Chercheur principal désigné	Sunnybrook Research Institute
Scott, Nigel	Cocandidat	Te Runanga o Ngai Tahu
Seferos, Dwight	Cocandidat	University of Toronto
Seimbille, Yann	Collaborateur	Erasmus MC
Selzner, Markus	Cochercheur principal	University Health Network
Seurujarvi, Irja	Collaborateur	University of Helsinki (Region 22)
Seutin, Gilles	Collaborateur	Parcs Canada
Shadgan, Babak	Cocandidat	The University of British Columbia
Shahriari, Dena	Cochercheur principal	The University of British Columbia
Sher, Graham	Collaborateur	Société canadienne du sang
Shimura, Junko	Collaborateur	Secretariat of the Convention on Biological Diversity
Shoichet, Molly	Cocandidat	University of Toronto
Shoichet, Molly	Cochercheur principal	University of Toronto
Silan (GAO), Wasiq (I-An ???)	Collaborateur	University of Helsinki (Region 32)
Silas, David	Cocandidat	Yukon University
Silvano, Renato	Cocandidat	Universidade Federal do Rio Grande do Sul
Silver, Jerry	Cocandidat	Case Western Reserve University
Simao Seixas, Cristiana	Cocandidat	University of Campinas
Simmons, Craig	Collaborateur	University of Toronto
Simmons, Deborah	Cocandidat	Sahtu' Renewable Resources Board
Sinclair, John	Cocandidat	University of Cambridge
Singh, Chandra Veer	Cocandidat	University of Toronto
Sinton, David	Chercheur principal désigné	University of Toronto
Siwik, Paula	Collaborateur	Gouvernement du Canada
Slavcev, Roderick	Cochercheur principal	University of Waterloo
Smith, Frank	Collaborateur	National Educational Association of Disabled Students (NEADS)
Smallman, Victoria	Collaborateur	Congrès du travail du Canada
Smith, Linda	Cocandidat	Te Whare Wananga o Awanuiarangi
Smith-Merry, Jennifer	Cocandidat	The University of Sydney
Snowshoe, Sharon	Collaborateur	Gwich'in Tribal Council (Region 3)
Sorensen, Poul	Collaborateur	The University of British Columbia
Sousa, Drew	Collaborateur	Ontario Occupational Health Nurses Association
Stamplecoskie, Kevin	Cocandidat	Queen's University
Southcott, Chris	Cocandidat	Lakehead University
Stefanovic, Bojana	Cochercheur principal	Sunnybrook Research Institute
Steino, Anne	Collaborateur	The University of British Columbia
Stevens, Mark	Cocandidat	South Australian Museum
Stricker, Stefan	Cocandidat	LMU Munich
Sukhai, Mahadeo	Cocandidat	Canadian National Institute for the Blind (CNIB)
Sukoff Rizzo, Stacey	Collaborateur	MARMO-AD
Sukoff Rizzo, Stacey	Collaborateur	MODEL-AD
Sullivan, Jacqueline	Cocandidat	Western University
Sultan-Taieb, Hélène	Cocandidat	Université du Québec à Montréal
Swiderska, Krystyna	Cocandidat	International Institute for Environment and Development
Szucsich, Nikolaus	Cocandidat	Naturhistorisches Museum Wien
TallBear-Dauphine, Kimberly	Cocandidat	University of Alberta
Tavallaei, Mohammad	Cocandidat	Toronto Metropolitan University
Taylor, Graham	Cochercheur principal	University of Guelph
Teelucksingh, Cheryl	Cocandidat	Toronto Metropolitan University
Temara, Pou	Cocandidat	Te Whare Wananga o Awanuiarangi
Tetzlaff, Wolfram	Cochercheur principal	The University of British Columbia
Thomas, Raymond	Chercheur principal désigné	Memorial University of Newfoundland
Tiano, Carmine	Collaborateur	Provincial Building & Construction Trades Council of Ontario
Ticktin, Tamara	Collaborateur	University of Hawai'i at Manoa (Region 39)
Tizya-Tramm, Erika	Collaborateur	Vuntut Gwitchin First Nation Government
Tobin, Steven	Collaborateur	Labour Market Information Council
Tompa, Emile	Chercheur principal désigné	McMaster University
Chercheur	Rôle	Établissement
Regier, Dean	Cocandidat	BC Cancer - BC Cancer Research Centre
Reed, Marty	Collaborateur	Evok Innovations
Rehan, Sandra	Cocandidat	Université York
Reichman, Trevor	Cocandidat	University of Toronto
Reid, Andrea	Cocandidat	The University of British Columbia
Reid, Brady	Collaborateur	Memorial University
Reid, Gregor	Cocandidat	The University of British Columbia
Reilly, Raymond	Cocandidat	University of Toronto
Reimer, Alice	Collaborateur	Creative Destruction Lab
Rho, Jong	Collaborateur	University of California San Diego
Richards, Blake	Cocandidat	Université McGill
Rice, Jacqueline	Cocandidat	University of Lethbridge
Rise, Matthew	Cocandidat	Memorial University of Newfoundland
Roe, Dilys	Collaborateur	Interational Institute for Environment and Development
Rogers, Ian	Cochercheur principal	Sinai Health System
Rohling, Robert	Cochercheur principal	The University of British Columbia
Roldán Cuenya, Beatriz	Collaborateur	Fritz Haber Institute of the Max Planck Society
Roslin, Tomas	Collaborateur	Sveriges lantbruksuniversitet
Ross, Michael	Cocandidat	Yukon University
Rossi, Fabio	Cocandidat	The University of British Columbia
Roth, Doug	Collaborateur	Heart & Stroke Foundation
Roth, Geoffrey	Collaborateur	Indian Health for Urban Indian Programs/UNPFII (Region 37)
Roth, Robin	Cocandidat	University of Guelph
Rothblatt, Martine	Collaborateur	United Therapeutics
Rougerie, Rodolphe	Cocandidat	Muséum national d'Histoire naturelle
Running Wolf, Caroline	Collaborateur	Buffalo Tongue Inc.
Sairanen, Sari	Collaborateur	UNIFOR
Saksida, Lisa	Cochercheur principal	Western University
Sanogo, Rokia	Cocandidat	Université des Sciences, des Techniques et des Technologies de Bamako (USTTB)
Santander, Javier	Cocandidat	Memorial University of Newfoundland
Saouab, Abdou	Collaborateur	Emploi et développement social Canada
Sargent, Edward	Cocandidat	University of Toronto
Sarikhani, Kaveh	Collaborateur	SealForLife
Sarvazyan, Narine	Cocandidat	George Washington University
Sayin, Firat	Cocandidat	Saint Mary's University
Schaffer, Paul	Cocandidat	TRIUMF
Schirrmacher, Ralf	Cocandidat	University of Alberta
Schmitz, Taylor	Cocandidat	Western University
Schmiegelow, Fiona	Cocandidat	University of Alberta
Schuurmans, Carol	Chercheur principal désigné	Sunnybrook Research Institute
Scott, Nigel	Cocandidat	Te Runanga o Ngai Tahu
Seferos, Dwight	Cocandidat	University of Toronto
Seimbille, Yann	Collaborateur	Erasmus MC
Selzner, Markus	Cochercheur principal	University Health Network
Seurujarvi, Irja	Collaborateur	University of Helsinki (Region 22)
Seutin, Gilles	Collaborateur	Parcs Canada
Shadgan, Babak	Cocandidat	The University of British Columbia
Shahriari, Dena	Cochercheur principal	The University of British Columbia
Sher, Graham	Collaborateur	Société canadienne du sang
Shimura, Junko	Collaborateur	Secretariat of the Convention on Biological Diversity
Shoichet, Molly	Cocandidat	University of Toronto
Shoichet, Molly	Cochercheur principal	University of Toronto
Silan (GAO), Wasiq (I-An ???)	Collaborateur	University of Helsinki (Region 32)
Silas, David	Cocandidat	Yukon University
Silvano, Renato	Cocandidat	Universidade Federal do Rio Grande do Sul
Silver, Jerry	Cocandidat	Case Western Reserve University
Simao Seixas, Cristiana	Cocandidat	University of Campinas
Simmons, Craig	Collaborateur	University of Toronto
Simmons, Deborah	Cocandidat	Sahtu' Renewable Resources Board
Sinclair, John	Cocandidat	University of Cambridge
Singh, Chandra Veer	Cocandidat	University of Toronto
Sinton, David	Chercheur principal désigné	University of Toronto
Siwik, Paula	Collaborateur	Gouvernement du Canada
Slavcev, Roderick	Cochercheur principal	University of Waterloo
Smith, Frank	Collaborateur	National Educational Association of Disabled Students (NEADS)
Smallman, Victoria	Collaborateur	Congrès du travail du Canada
Smith, Linda	Cocandidat	Te Whare Wananga o Awanuiarangi
Smith-Merry, Jennifer	Cocandidat	The University of Sydney
Snowshoe, Sharon	Collaborateur	Gwich'in Tribal Council (Region 3)
Sorensen, Poul	Collaborateur	The University of British Columbia
Sousa, Drew	Collaborateur	Ontario Occupational Health Nurses Association
Stamplecoskie, Kevin	Cocandidat	Queen's University
Southcott, Chris	Cocandidat	Lakehead University
Stefanovic, Bojana	Cochercheur principal	Sunnybrook Research Institute
Steino, Anne	Collaborateur	The University of British Columbia
Stevens, Mark	Cocandidat	South Australian Museum
Stricker, Stefan	Cocandidat	LMU Munich
Sukhai, Mahadeo	Cocandidat	Canadian National Institute for the Blind (CNIB)
Sukoff Rizzo, Stacey	Collaborateur	MARMO-AD
Sukoff Rizzo, Stacey	Collaborateur	MODEL-AD
Sullivan, Jacqueline	Cocandidat	Western University
Sultan-Taieb, Hélène	Cocandidat	Université du Québec à Montréal
Swiderska, Krystyna	Cocandidat	International Institute for Environment and Development
Szucsich, Nikolaus	Cocandidat	Naturhistorisches Museum Wien
TallBear-Dauphine, Kimberly	Cocandidat	University of Alberta
Tavallaei, Mohammad	Cocandidat	Toronto Metropolitan University
Taylor, Graham	Cochercheur principal	University of Guelph
Teelucksingh, Cheryl	Cocandidat	Toronto Metropolitan University
Temara, Pou	Cocandidat	Te Whare Wananga o Awanuiarangi
Tetzlaff, Wolfram	Cochercheur principal	The University of British Columbia
Thomas, Raymond	Chercheur principal désigné	Memorial University of Newfoundland
Tiano, Carmine	Collaborateur	Provincial Building & Construction Trades Council of Ontario
Ticktin, Tamara	Collaborateur	University of Hawai'i at Manoa (Region 39)
Tizya-Tramm, Erika	Collaborateur	Vuntut Gwitchin First Nation Government
Tobin, Steven	Collaborateur	Labour Market Information Council
Tompa, Emile	Chercheur principal désigné	McMaster University
Tour, James	Cocandidat	Rice University
Trakansuphakon, Nutdanai	Collaborateur	Indigenous Knowledge and Peoples Foundation (IKAP) (Region 31)
Trakansuphakon, Prasert	Cocandidat	Pgakenyaw Association for Sustainable Development-PASD
Tremblay, Crystal	Cocandidat	University of Victoria
Treviranus, Jutta	Cocandidat	OCAD University
Tsannie, Joseph	Collaborateur	Prince Albert Grand Council (Region 12)
Tsosie, Krystal	Cocandidat	Native BioData Consortium
Tsoupras, Alexandros	Cocandidat	University of Limerick
Tsukuda, Tatsuya	Cocandidat	The University of Tokyo
Tubaro, Pablo	Cocandidat	Museo Argentino de Ciencias Naturales "Bernardino Rivadavia"
Turner, Nancy	Collaborateur	University of Victoria
Ubalijoro, Eliane	Cocandidat	Université Concordia
Uribe, Carlos	Cocandidat	BC Cancer
Valdez-Moreno, Martha Elena	Cocandidat	El Colegio de la Frontera Sur
van der Bank, Michelle	Cocandidat	University of Johannesburg
Valverde, Israel	Collaborateur	Hospital Universitario Virgen del Rocio
van der Meulen, Nicholas	Collaborateur	Paul Sherrer Institute (PSI)
Van der Voorde, Michiel	Collaborateur	SCK CEN
Van Eerd, Dwayne	Cocandidat	Institute for Work and Health
Vasconcelos, Sara	Cocandidat	University Health Network
Vasconcelos, Sara	Cochercheur principal	University Health Network
Veres, Angelika	Cocandidat	OCAD University
Vodden, Kelly	Cocandidat	Memorial University of Newfoundland
Vogler, Alfried	Cochercheur principal	Imperial College London
Volpe, Flavio	Collaborateur	Automotive Parts Manufacturers' Association
Vukovic, Boris	Collaborateur	Carleton University
Waddell, Thomas	Cochercheur principal	University Health Network
Wallace, Gordon	Cochercheur principal	University of Wollongong
Wallenburg, John	Collaborateur	Cystic Fibrosis Canada
Wallet Mohamed Aboubakrine, Mariam	Cochercheur principal	Association Tinhinan Canada
Walters, Carol	Collaborateur	Alzheimer Society London and Middlesex
Watts, Joel	Cocandidat	University of Toronto
Weisheit, Anke	Collaborateur	Pharm-Bio Technology and Traditional Medicine Center (PHARMBIOTRAC)
Wesche, Sonia	Cocandidat	Université d'Ottawa
Whaanga, Hemi	Cochercheur principal	University of Waikato
Willerth, Stephanie	Cocandidat	University of Victoria
Willerth, Stephanie	Collaborateur	University of Victoria
Williams, Eugene	Collaborateur	ProMIS Neurosciences
Williams, Sylvain	Collaborateur	Université McGill
Willows, Noreen	Cocandidat	University of Alberta
Wilson, Brian	Cocandidat	University of Toronto
Wiseman, Frances	Collaborateur	UK Dementia Research Institute
Witehira, Johnson	Cocandidat	Indigenous Design and Innovation Aotearoa
Withers, Stephen	Cocandidat	University of British Columbia
Wolf, Michael	Cochercheur principal	The University of British Columbia
Wood, Susie	Cocandidat	Cawthron Institute
Wrona, Fred	Collaborateur	University of Calgary
Wuest, Frank	Cocandidat	University of Alberta
Wu, Yimin	Cocandidat	University of Waterloo
Wyndham-West, Catherine	Cocandidat	OCAD University
Yan, Li	Collaborateur	NRCan
Yang, Hua	Cocandidat	TRIUMF
Yang, Guang	Cocandidat	University of Calgary
Yang, Victor	Cochercheur principal	Sunnybrook Research Institute
Yau, Terrence	Cochercheur principal	University of Toronto
Yawanawà, Laura	Collaborateur	Yawanawá people (Region 40)
Yawanawà, Tashka	Collaborateur	Yawanawá people (Region 40)
Ye, Ziliang	Cochercheur principal	The University of British Columbia
Yellowbird, Kacey	Collaborateur	Samson Cree Nation (Region 11)
Yeung, Jonathan	Cocandidat	University Health Network
Yoo, Shi-Joon	Cocandidat	Hospital for Sick Children
Yurgel, Svetlana	Cocandidat	Dalhousie University
Zabetakis, Ioannis	Cocandidat	University of Limerick
Zapeta, Teresa	Collaborateur	FIMI - IIWF (Region 38)
Zheng, Gang	Cocandidat	University Health Network
Zheng, Gang	Cochercheur principal	University Health Network
Zheng, Jie	Cocandidat	The University of Texas at Dallas
Zinsstag, Jakob	Collaborateur	Swiss Tropical and Public Health
Zoe, John B.	Collaborateur	Tlicho Government (Region 5)
Zurba, Melanie	Cocandidat	Dalhousie University